Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2015440000804,1,19,0,18,0,0,0,0,0,0,1,1,1,1,33,6,-1,-1,-1,-1,1,-1
2015440000804,2,1,0,18,0,0,0,0,0,0,2,1,6,1,32,6,-1,-1,-1,-1,2,-1
2015440003143,1,9,0,18,0,0,0,0,2,7,1,1,2,1,33,6,1400,1,16,-1,1,-1
2015440003143,2,19,0,18,0,0,0,0,0,0,4,1,6,1,52,8,1996,2,1,-1,1,-1
2015440006077,1,9,0,18,0,0,1,0,1,5,1,1,6,1,20,4,-1,-1,-1,-1,3,-1
2015440006077,2,3,0,18,0,0,1,0,1,0,2,1,6,2,20,4,125,1,5,-1,1,-1
2015440007567,1,9,0,18,0,0,1,0,4,6,3,1,2,2,36,7,2685,2,11,-1,1,-1
2015440011430,1,9,0,9,0,8,0,0,0,0,1,1,6,1,52,8,2495,2,9,-1,3,-1
2015440011430,2,5,0,18,0,8,0,0,0,0,4,1,6,1,50,8,680,1,8,-1,1,-1
2015440023972,1,9,0,3,0,8,0,0,0,0,2,1,1,2,36,7,1997,2,6,-1,1,-1
2015440023972,2,9,0,18,0,8,0,0,0,0,1,1,1,2,46,8,1560,2,5,-1,1,-1
2015440025403,1,9,0,18,0,0,2,0,1,4,4,1,6,1,34,6,1796,1,12,-1,1,-1
2015440036008,1,9,0,18,0,0,1,0,4,0,1,1,6,1,24,5,1242,1,8,-1,1,-1
2015440036008,2,9,0,18,0,0,1,0,4,0,3,1,6,1,40,7,1998,1,9,-1,1,-1
2015440036034,1,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,2495,2,20,-1,-1,-1
2015440036034,2,9,0,18,0,0,5,0,1,9,1,1,6,1,38,7,-1,-1,-1,-1,1,-1
2015440036754,1,9,0,18,0,0,0,0,0,0,1,1,6,2,60,9,-1,-1,-1,-1,1,-1
2015440036754,2,9,0,3,0,0,0,0,0,0,2,1,6,1,55,8,2800,2,20,-1,1,-1
2015440043837,1,9,0,18,0,8,1,0,2,7,1,1,6,1,41,7,1248,1,4,-1,-1,-1
2015440043837,2,9,0,12,0,8,0,0,1,0,2,1,6,1,29,6,-1,-1,-1,-1,-1,-1
2015440043837,3,9,0,18,0,8,0,0,0,0,1,1,6,1,32,6,-1,-1,-1,-1,1,-1
2015440046761,1,9,0,18,0,0,1,0,6,6,1,1,6,1,61,9,-1,-1,-1,-1,1,-1
2015440046761,2,9,0,18,0,0,0,0,0,0,1,1,1,1,65,9,1598,1,13,-1,1,-1
2015440046761,3,9,0,18,0,0,0,0,0,0,1,1,6,1,22,5,1595,1,8,-1,1,-1
2015440052422,1,9,0,18,0,2,1,7,1,2,1,1,6,1,18,4,998,1,11,-1,1,-1
2015440061480,1,9,0,16,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2015440061480,2,9,0,4,0,1,0,0,0,0,2,1,6,2,30,6,1360,1,11,-1,1,-1
2015440068921,1,9,0,17,0,1,0,0,0,0,1,1,6,2,61,9,1968,2,4,-1,3,-1
2015440068921,2,9,0,16,0,2,0,0,0,0,1,1,2,2,37,7,-1,-1,-1,-1,-1,-1
2015440093719,1,9,0,18,0,0,5,0,1,11,1,1,6,1,91,11,1598,1,16,-1,1,-1
2015440100163,1,19,0,18,0,0,0,0,0,0,1,1,1,1,32,6,2198,2,3,-1,1,-1
2015440100163,2,17,5,18,0,0,0,0,0,0,2,1,1,1,20,4,-1,2,1,-1,1,-1
2015440109030,1,9,0,18,0,0,0,0,0,0,2,1,2,1,68,10,-1,-1,-1,-1,1,-1
2015440109030,2,9,0,18,0,0,0,0,0,0,1,1,2,1,48,8,1749,1,12,-1,1,-1
2015440109030,3,19,0,18,0,0,0,0,0,0,3,1,1,1,30,6,1998,2,13,-1,1,-1
2015440135451,1,9,0,18,0,8,0,0,0,0,1,1,6,1,87,11,995,1,10,-1,1,-1
2015440135451,2,9,0,9,0,8,0,0,0,0,3,1,6,1,28,6,1796,1,8,-1,1,-1
2015440138250,1,9,0,18,0,8,0,0,4,6,2,1,1,2,21,5,-1,-1,-1,-1,1,-1
2015440138250,2,9,0,18,0,8,0,0,0,0,1,1,2,2,43,7,1398,1,-1,-1,1,-1
2015440140202,1,9,0,16,0,7,0,0,0,0,4,1,6,2,23,5,-1,-1,-1,-1,1,-1
2015440140928,1,9,0,18,0,8,0,0,0,0,1,1,3,2,39,7,1390,1,9,-1,1,-1
2015440140928,2,9,0,4,0,8,0,0,0,0,2,1,2,1,49,8,1870,2,4,-1,2,-1
2015440140928,3,9,0,4,0,8,0,0,0,0,2,1,3,1,43,7,1329,1,6,-1,1,-1
2015440151944,1,9,0,18,0,0,0,0,1,7,1,1,2,2,60,9,-1,-1,-1,-1,1,-1
2015440176517,1,9,0,18,0,0,1,12,5,7,3,1,6,1,20,4,1999,1,12,-1,2,-1
2015440177563,1,9,0,18,0,8,0,0,0,0,1,1,6,1,34,6,2664,2,14,-1,1,-1
2015440177563,2,9,0,3,0,8,0,0,0,0,4,1,1,2,51,8,2993,2,2,-1,1,-1
2015440178337,1,5,0,16,0,1,1,0,7,0,0,1,6,1,78,11,883,1,11,-1,1,-1
2015440178337,2,9,0,18,0,8,0,0,0,0,1,1,2,1,40,7,1997,2,2,-1,1,-1
2015440178337,3,90,0,18,0,8,0,0,0,0,1,1,1,2,50,8,2298,2,-1,-1,1,-1
2015440188561,1,9,0,4,0,0,0,0,0,0,2,1,6,3,-1,-1,1198,1,12,-1,-1,-1
2015440188561,2,9,0,4,0,0,0,0,0,0,1,1,6,2,48,8,1598,1,13,-1,1,-1
2015440199214,1,5,0,3,0,1,0,0,0,0,2,1,2,1,24,5,598,1,25,-1,1,-1
2015440199214,2,9,0,4,0,1,0,0,0,0,1,1,6,1,-1,-1,1910,2,9,-1,-1,-1
2015440200047,1,9,0,3,0,0,0,0,1,0,3,1,1,1,22,5,1596,1,10,-1,1,-1
2015440200047,2,9,0,18,0,0,0,0,0,0,1,1,6,2,72,10,1242,1,2,-1,-1,-1
2015440200967,1,9,0,18,0,4,0,0,0,0,3,1,6,1,18,4,1199,1,13,-1,3,-1
2015440200967,2,1,0,17,0,8,0,0,0,0,1,1,6,1,51,8,-1,-1,-1,-1,2,-1
2015440207568,1,9,0,18,0,8,2,0,1,7,1,1,2,1,25,5,1124,1,14,-1,1,-1
2015440216123,1,1,0,18,0,8,0,0,0,0,1,1,6,1,42,7,-1,-1,-1,-1,1,-1
2015440216123,2,9,0,7,0,8,0,0,0,0,4,1,6,2,26,6,1796,1,8,-1,1,-1
2015440216199,1,90,0,9,0,8,0,0,0,0,4,2,6,2,27,6,2110,1,25,-1,-1,-1
2015440216199,2,4,0,17,0,8,1,0,0,0,1,1,6,1,68,10,125,1,1,-1,1,-1
2015440224817,1,9,0,9,0,8,5,0,0,0,1,1,6,1,18,4,1360,1,10,-1,1,-1
2015440267049,1,9,0,18,0,0,2,11,1,10,1,1,6,2,30,6,1598,1,7,-1,1,-1
2015440269921,1,9,0,18,0,0,2,0,1,3,0,1,6,2,37,7,-1,-1,-1,-1,1,-1
2015440269921,2,9,0,18,0,0,0,0,0,0,0,1,6,1,58,9,1248,2,-1,-1,-1,-1
2015440273775,1,9,0,18,0,8,0,0,0,0,4,1,1,1,33,6,1248,2,1,-1,1,-1
2015440273775,2,9,0,18,0,8,0,0,0,0,1,1,6,2,18,4,1968,2,1,-1,1,-1
2015440297658,1,19,0,5,0,8,0,0,0,0,0,1,2,1,58,9,1870,2,11,-1,1,-1
2015440316089,1,9,0,7,0,5,0,0,0,0,1,1,6,1,42,7,1870,2,10,-1,1,-1
2015440316089,2,9,0,10,0,1,0,0,0,0,3,1,6,1,72,10,998,1,2,-1,1,-1
2015440355267,1,9,0,3,0,1,0,0,0,0,2,1,2,2,45,7,1596,1,6,-1,1,-1
2015440355267,2,9,0,18,0,1,0,0,0,0,1,1,2,3,-1,-1,1685,2,3,-1,-1,-1
2015440365242,1,9,0,18,0,0,0,7,0,0,1,1,6,2,18,4,1360,1,13,-1,1,-1
2015440366903,1,9,0,18,0,8,0,0,0,0,1,1,2,1,49,8,2184,2,1,-1,3,-1
2015440366903,2,9,0,9,0,8,0,0,0,0,4,1,2,2,48,8,1596,1,16,-1,1,-1
2015440374218,1,9,0,18,0,0,5,7,1,0,1,1,6,2,17,4,1242,1,14,-1,1,-1
2015440390649,1,9,0,18,0,0,0,0,0,0,1,1,1,1,20,4,1560,2,1,-1,1,-1
2015440390649,2,9,0,3,0,0,0,0,0,0,2,1,1,2,23,5,1599,1,7,-1,1,-1
2015440390649,3,19,0,3,0,0,0,0,0,0,2,1,1,1,25,5,1995,2,7,-1,1,-1
2015440401626,1,19,0,18,0,0,2,0,2,4,1,1,1,1,48,8,2148,2,9,-1,1,-1
2015440401626,2,9,0,18,0,0,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,-1,1,-1
2015440401626,3,9,0,18,0,0,0,0,0,0,1,1,6,1,30,6,1389,1,13,-1,1,-1
2015440401626,4,9,0,18,0,0,0,0,0,0,1,1,6,1,27,6,1956,2,6,-1,1,-1
2015440401626,5,9,0,18,0,0,0,0,0,0,1,1,6,1,19,4,-1,-1,-1,-1,-1,-1
2015440407893,1,9,0,4,0,0,0,0,0,0,1,1,2,1,44,7,1796,1,8,-1,1,-1
2015440407893,2,9,0,4,0,0,0,0,0,0,2,1,2,1,44,7,1598,2,2,-1,1,-1
2015440410706,1,9,0,18,0,0,0,0,0,0,1,1,2,1,26,6,1560,2,1,-1,1,-1
2015440410706,2,9,0,4,0,0,0,0,0,0,2,1,2,2,60,9,1360,1,3,-1,1,-1
2015440410706,3,9,0,4,0,0,0,0,0,0,2,1,2,2,32,6,1299,1,7,-1,1,-1
2015440411468,1,1,0,18,0,8,0,0,0,0,1,1,6,1,16,4,-1,-1,-1,-1,1,-1
2015440411468,2,9,0,10,0,8,0,0,0,0,3,1,1,2,42,7,1242,1,3,-1,1,-1
2015440426463,1,9,0,18,0,1,0,0,0,0,1,1,1,1,25,5,-1,-1,-1,-1,1,-1
2015440426463,2,9,0,9,0,6,0,0,0,0,3,1,6,1,84,11,1299,1,14,-1,1,-1
2015450024971,1,9,0,13,0,0,0,0,2,0,1,1,2,2,36,7,1590,1,12,-1,1,-1
2015450030314,1,9,0,18,0,0,0,0,0,0,1,1,6,1,26,6,1389,1,16,-1,-1,-1
2015450030314,2,9,0,4,0,0,0,0,0,0,2,1,6,1,80,11,1796,1,11,-1,-1,-1
2015450030314,3,9,0,18,0,0,0,0,0,0,0,1,6,2,44,7,-1,-1,-1,-1,-1,-1
2015450030449,1,9,0,4,0,0,5,0,1,4,3,1,6,2,22,5,1124,1,13,-1,3,-1
2015450035561,1,9,0,18,0,2,0,0,1,7,1,1,6,1,43,7,1591,1,5,-1,1,-1
2015450036397,1,9,0,18,0,0,1,0,1,0,4,1,6,2,23,5,1242,1,15,-1,1,-1
